_H:	$word	$phones
_D:	"absolutized"	"aa_b.s_uh.'l_uu.t_ah_i_z_d%bc"
_D:	"absolutizing"	"aa_b.s_uh.'l_uu.t_ah_i.z_i_ng%cb"
_D:	"absolutory"	"aa_b.'s_uh_l.uu.~t_uh_r.i%c"
_D:	"absolve"	"aa_b.'z_o_ll_v%b"
_D:	"absonant"	"'aa_b.s_uh.n_uh_n_t%c"
_D:	"absorb"	"aa_b.'z_aw_r_b%b"
_D:	"absorbance"	"aa_b.'z_aw_r.b_uh_n_s%a"
_D:	"absorbed"	"aa_b.'s_aw_r_b_d%c"
_D:	"absorbedly"	"aa_b.'z_aw_r.b_uh_d.l_i%d"
_D:	"absorbedness"	"aa_b.'s_aw_r_b_d.n_e_s%a"
_D:	"absorbefacient"	"aa_b.~s_aw_r.b_uh.'f_e_i.sh_uh_n_t%c"
_D:	"absorbent"	"aa_b.'s_aw_r.b_uh_n_t%ca"
_D:	"absorber"	"aa_b.'s_aw_r.b_uh_r%a"
_D:	"absorbing"	"aa_b.'s_aw_r.b_i_ng%c"
_D:	"absorptance"	"aa_b.'z_aw_r_p.t_uh_n_s%a"
_D:	"absorptiometer"	"aa_b.~z_aw_r_p.sh_ee.'o_m.i.t_uh_r%a"
_D:	"absorptiometric"	"aa_b.'z_aw_r_p.sh_i.uh.'m_e.t_r_i_k%c"
_D:	"absorption"	"aa_b.'z_aw_r_p.sh_uh_n%a"
_D:	"absorptive"	"aa_b.'s_aw_r_p.t_i_v%c"
_D:	"absorptivity"	"'aa_b.z_aw_r_p.'t_i_v.i.t_i%a"
_D:	"abstain"	"aa_b.'s_t_e_i_n%b"
_D:	"abstainer"	"'aa_b.s_t_e_i.n_uh_r%ca"
_D:	"abstemious"	"aa_b.'s_t_ee.m_i.uh_s%c"
_D:	"abstemiously"	"aa_b.'s_t_ee.m_i.uh_s.l_i%d"
_D:	"abstemiousness"	"aa_b.'s_t_ee.m_i.uh_s.n_e_s%a"
_D:	"abstention"	"aa_b.'s_t_e_n.sh_uh_n%a"
_D:	"absterge"	"aa_b.'s_t_er_r_j%b"
_D:	"abstergent"	"aa_b.'s_t_er_r.j_uh_n_t%ca"
_D:	"abstersion"	"aa_b.'s_t_er_r.sh_uh_n%a"
_D:	"abstersive"	"aa_b.'s_t_er_r.s_i_v%c"
_D:	"abstersiveness"	"aa_b.'s_t_er_r.s_i_v.n_e_s%a"
_D:	"abstinence"	"'aa_b.s_t_i.n_uh_n_s%a"
_D:	"abstinent"	"'aa_b.s_t_i.n_uh_n_t%c"
_D:	"abstinently"	"'aa_b.s_t_i.n_uh_n_t.l_i%d"
_D:	"abstract"	"'aa_b.s_t_r_aa_k_t%a"
_D:	"abstract/aj"	"'aa_b.s_t_r_aa_k_t%j"
_D:	"abstracted"	"aa_b.'s_t_r_aa_k.t_i_d%c"
_D:	"abstractedly"	"aa_b.'s_t_r_aa_k.t_i_d.l_i%d"
_D:	"abstractedness"	"aa_b.'s_t_r_aa_k.t_i_d.n_e_s%a"
_D:	"abstracter"	"'aa_b.s_t_r_aa_k.t_uh_r%ca"
_D:	"abstraction"	"aa_b.'s_t_r_aa_k.sh_uh_n%a"
_D:	"abstractionism"	"aa_b.'s_t_r_aa_k.sh_uh.~n_i_z.uh_m%a"
_D:	"abstractionist"	"aa_b.'s_t_r_aa_k.sh_uh.n_i_s_t%ac"
